Rank,Fund,Category,Quality,Risk,RiskBand,Recommended,Expected Holding Period,Why
15,Samco ELSS Tax Saver Fund,ELSS,90,77,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
16,WhiteOak Capital ELSS Tax Saver Fund,ELSS,88,23,Conservative,No,5+ years,[+] Supported by a management team | [+] Favourable AUM / capacity
17,Motilal Oswal Focused Fund,Focused Fund,100,84,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
18,quant Focused Fund,Focused Fund,96,54,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
19,Mirae Asset Banking and Financial Services Fund,Sectoral/ Thematic,99,18,Conservative,No,5+ years,[+] Excellent downside protection | [+] Favourable AUM / capacity
20,BANDHAN Infrastructure Fund,Sectoral/ Thematic,98,88,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
21,ICICI Prudential Quant Fund,Sectoral/ Thematic,98,17,Conservative,No,5+ years,[-] Lagging past returns | [+] Excellent downside protection
22,Baroda BNP Paribas Banking and Financial Services Fund,Sectoral/ Thematic,97,13,Conservative,No,5+ years,[+] Excellent downside protection | [-] Lagging past returns
23,Tata Housing Opportunities Fund,Sectoral/ Thematic,96,58,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
24,Kotak Banking & Financial Services Fund,Sectoral/ Thematic,95,15,Conservative,No,5+ years,[+] Excellent downside protection | [+] Favourable AUM / capacity
25,Taurus ELSS Tax Saver Fund,ELSS,85,15,Conservative,No,5+ years,[+] Favourable AUM / capacity | [-] Solo management risk
26,Taurus Banking & Financial Services Fund,Sectoral/ Thematic,94,14,Conservative,No,5+ years,[-] Solo management risk | [+] Excellent downside protection
27,UTI Banking and Financial Services Fund,Sectoral/ Thematic,94,13,Conservative,No,5+ years,[+] Excellent downside protection | [+] Favourable AUM / capacity
28,ICICI Prudential US Bluechip Equity Fund,Sectoral/ Thematic,93,28,Conservative,No,5+ years,[+] Supported by a management team | [+] Favourable AUM / capacity
29,quant ESG Integration Strategy Fund,Sectoral/ Thematic,92,65,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
30,BANDHAN MULTI CAP FUND,Multi Cap Fund,100,33,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
31,Edelweiss ELSS Tax Saver Fund,ELSS,82,34,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
32,BANDHAN TRANSPORTATION AND LOGISTICS FUND,Sectoral/ Thematic,91,55,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
33,Quantum Value Fund,Value Fund,95,13,Conservative,No,5+ years,[+] Favourable AUM / capacity | [+] Excellent downside protection
34,HDFC Banking & Financial Services Fund,Sectoral/ Thematic,90,15,Conservative,No,5+ years,[+] Excellent downside protection | [-] Lagging past returns
35,quant BFSI Fund,Sectoral/ Thematic,90,59,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
36,Franklin India Dividend Yield Fund,Dividend Yield Fund,100,25,Conservative,No,5+ years,[+] Supported by a management team | [-] Severe historical drawdown
37,JM ELSS Tax Saver Fund,ELSS,80,45,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
38,360 ONE ELSS Tax Saver Nifty 50 Index Fund,ELSS,78,19,Conservative,No,5+ years,[+] Favourable AUM / capacity | [-] Expensive TER
39,Tata Business Cycle Fund,Sectoral/ Thematic,89,39,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
40,quant Quantamental Fund,Sectoral/ Thematic,88,58,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
41,ITI Banking and Financial Services Fund,Sectoral/ Thematic,87,10,Conservative,No,5+ years,[-] Expensive TER | [+] Excellent downside protection
42,Franklin Asian Equity Fund,Sectoral/ Thematic,86,27,Conservative,No,5+ years,[+] Excellent downside protection | [+] Cost efficient structure
43,ICICI Prudential FMCG Fund,Sectoral/ Thematic,86,37,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
44,Invesco India PSU Equity Fund,Sectoral/ Thematic,85,100,Aggressive,No,1-3 years,[+] Favourable AUM / capacity | [+] Excellent downside protection
45,DSP Value Fund,Value Fund,90,3,Conservative,No,5+ years,[+] Excellent downside protection | [-] Lagging past returns
46,DSP Healthcare Fund,Sectoral/ Thematic,84,30,Conservative,No,5+ years,[+] Favourable AUM / capacity | [+] Excellent downside protection
47,Nippon India Banking & Financial Services Fund,Sectoral/ Thematic,83,11,Conservative,No,5+ years,[+] Supported by a management team | [+] Excellent downside protection
48,Quant Value Fund,Value Fund,85,72,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
49,Parag Parikh ELSS Tax Saver Fund,ELSS,75,0,Conservative,No,5+ years,[+] Excellent downside protection | [+] Supported by a management team
50,BANDHAN Large Cap Fund,Large Cap Fund,93,31,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
51,ICICI PRUDENTIAL TRANSPORTATION AND LOGISTICS FUND,Sectoral/ Thematic,82,48,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
52,Bandhan Focused Fund,Focused Fund,92,33,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
53,JM Value Fund,Value Fund,80,61,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
54,Sundaram Services Fund,Sectoral/ Thematic,82,22,Conservative,No,5+ years,[+] Favourable AUM / capacity | [+] Strong long-term consistency
55,quant Business Cycle Fund,Sectoral/ Thematic,81,80,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
56,ICICI Prudential Value Fund (erstwhile Value Discovery Fund),Value Fund,75,14,Conservative,No,5+ years,[-] Fund size acting as a drag | [+] Supported by a management team
57,quant Infrastructure Fund,Sectoral/ Thematic,80,83,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
58,BANDHAN ELSS Tax Saver Fund,ELSS,72,25,Conservative,No,5+ years,[+] Supported by a management team | [-] Severe historical drawdown
59,Nippon India Vision Large & Mid Cap Fund,Large & Mid Cap Fund,100,31,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
60,WhiteOak Capital Mid Cap Fund,Mid Cap Fund,93,43,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
61,Tata Banking And Financial Services Fund,Sectoral/ Thematic,79,13,Conservative,No,5+ years,[-] Expensive TER | [+] Excellent downside protection
62,LIC MF Banking and Financial Services Fund,Sectoral/ Thematic,78,25,Conservative,No,5+ years,[+] Favourable AUM / capacity | [-] Lagging past returns
63,ICICI Prudential India Opportunities Fund,Sectoral/ Thematic,78,15,Conservative,No,5+ years,[-] Fund size acting as a drag | [+] Supported by a management team
64,Tata Infrastructure Fund,Sectoral/ Thematic,77,82,Aggressive,No,1-3 years,[+] Excellent downside protection | [+] Favourable AUM / capacity
65,Tata Flexi Cap Fund,Flexi Cap Fund,94,17,Conservative,No,5+ years,[+] Favourable AUM / capacity | [+] Strong long-term consistency
66,Edelweiss Focused Fund,Focused Fund,88,29,Conservative,No,5+ years,[+] Supported by a management team | [-] Severe historical drawdown
67,quant Large Cap Fund,Large Cap Fund,90,49,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
68,Aditya Birla Sun Life International Equity Fund,Sectoral/ Thematic,76,19,Conservative,No,5+ years,[-] Lagging past returns | [+] Excellent downside protection
69,ICICI Prudential ESG Exclusionary Strategy Fund,Sectoral/ Thematic,75,26,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
70,Templeton India Value Fund,Value Fund,70,30,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
71,Mahindra Manulife Mid Cap Fund,Mid Cap Fund,89,51,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
72,HSBC Focused Fund,Focused Fund,85,41,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
73,HDFC MNC Fund,Sectoral/ Thematic,74,52,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Veteran manager with exceptional tenure
74,quant Large & Mid Cap Fund,Large & Mid Cap Fund,96,61,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
75,SBI MNC FUND,Sectoral/ Thematic,74,15,Conservative,No,5+ years,[+] Strong past momentum | [+] Excellent downside protection
76,Nippon India Japan Equity Fund,Sectoral/ Thematic,73,8,Conservative,No,5+ years,[+] Excellent downside protection | [-] Lagging past returns
77,Franklin Build India Fund,Sectoral/ Thematic,72,50,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
78,Franklin India Technology Fund,Sectoral/ Thematic,72,38,Balanced,No,3-5 years,[+] Supported by a management team | [+] Favourable AUM / capacity
79,Tata Multicap Fund,Multi Cap Fund,95,46,Balanced,No,3-5 years,[+] Supported by a management team | [-] Expensive TER
80,Union Focused Fund,Focused Fund,81,27,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Veteran manager with exceptional tenure
81,ICICI Prudential MNC Fund,Sectoral/ Thematic,70,29,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
82,NJ ELSS Tax Saver Scheme,ELSS,70,56,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Veteran manager with exceptional tenure
83,Baroda BNP Paribas Value Fund,Value Fund,65,43,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
84,LIC MF Large Cap Fund,Large Cap Fund,86,31,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
85,Kotak Manufacture in India Fund,Sectoral/ Thematic,70,53,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
86,Axis Large Cap Fund,Large Cap Fund,83,19,Conservative,No,5+ years,[-] Fund size acting as a drag | [+] Supported by a management team
87,Axis Business Cycles Fund,Sectoral/ Thematic,69,37,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
88,DSP Focused Fund,Focused Fund,77,30,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
89,Mirae Asset Flexi Cap Fund,Flexi Cap Fund,91,25,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
90,Canara Robeco Value Fund,Value Fund,60,35,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
91,Tata India Pharma & Healthcare Fund,Sectoral/ Thematic,68,44,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
92,CANARA ROBECO INFRASTRUCTURE FUND,Sectoral/ Thematic,67,66,Aggressive,No,1-3 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
93,SBI BANKING & FINANCIAL SERVICES FUND,Sectoral/ Thematic,66,6,Conservative,No,5+ years,[+] Excellent downside protection | [-] Fund size acting as a drag
94,HSBC Infrastructure Fund,Sectoral/ Thematic,66,74,Aggressive,No,1-3 years,[+] Supported by a management team | [+] Favourable AUM / capacity
95,Kotak Business Cycle,Sectoral/ Thematic,65,34,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
96,Union Midcap Fund,Mid Cap Fund,82,51,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
97,Union Multicap Fund,Multi Cap Fund,89,39,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
98,BARODA BNP PARIBAS Mid Cap Fund,Mid Cap Fund,82,38,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
99,Canara Robeco Mid Cap Fund,Mid Cap Fund,82,50,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
100,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund),Dividend Yield Fund,88,35,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
101,Tata Dividend Yield Fund,Dividend Yield Fund,75,44,Balanced,No,3-5 years,[+] Supported by a management team | [-] Severe historical drawdown
102,CANARA ROBECO CONSUMPTION FUND,Sectoral/ Thematic,64,36,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
103,Aditya Birla Sun Life Banking and Financial Services Fund,Sectoral/ Thematic,63,20,Conservative,No,5+ years,[+] Favourable AUM / capacity | [-] Relatively inexperienced manager
104,ICICI Prudential Commodities Fund,Sectoral/ Thematic,62,43,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
105,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund),Multi Cap Fund,84,36,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
106,Tata Large & MId Cap Fund,Large & Mid Cap Fund,92,33,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
107,JM Large Cap Fund,Large Cap Fund,79,39,Balanced,No,3-5 years,[+] Supported by a management team | [-] Relatively inexperienced manager
108,ICICI Prudential Bharat Consumption Fund,Sectoral/ Thematic,61,37,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
109,ICICI PRUDENTIAL HOUSING OPPORTUNITIES FUND,Sectoral/ Thematic,61,28,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
110,Sundaram Financial Services Opportunities Fund,Sectoral/ Thematic,59,21,Conservative,No,5+ years,[+] Favourable AUM / capacity | [-] Inconsistent hit rate
111,Invesco India Financial Services Fund,Sectoral/ Thematic,59,18,Conservative,No,5+ years,[+] Favourable AUM / capacity | [-] Inconsistent hit rate
112,SBI HEALTHCARE OPPORTUNITIES FUND,Sectoral/ Thematic,59,27,Conservative,No,5+ years,[+] Favourable AUM / capacity | [-] Inconsistent hit rate
113,Baroda BNP Paribas Business Cycle Fund,Sectoral/ Thematic,58,41,Balanced,No,3-5 years,[-] Severe historical drawdown | [-] Lagging past returns
114,Union Large & Midcap Fund,Large & Mid Cap Fund,88,35,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
115,Union Largecap Fund,Large Cap Fund,76,21,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
116,Tata Ethical Fund,Sectoral/ Thematic,57,41,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
117,QUANTUM ESG BEST IN CLASS STRATEGY FUND,Sectoral/ Thematic,56,29,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
118,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND,ELSS,68,19,Conservative,No,5+ years,[-] Expensive TER | [+] Favourable AUM / capacity
119,Aditya Birla Sun Life Business Cycle Fund,Sectoral/ Thematic,54,32,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
120,Tata Focused Fund,Focused Fund,73,30,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
121,HDFC Business Cycle Fund,Sectoral/ Thematic,54,26,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
122,SBI CONSUMPTION OPPORTUNITIES FUND,Sectoral/ Thematic,54,48,Balanced,No,3-5 years,[-] Severe historical drawdown | [-] Lagging past returns
123,HDFC Flexi Cap Fund,Flexi Cap Fund,88,7,Conservative,No,5+ years,[+] Excellent downside protection | [-] Expensive TER
124,Sundaram ELSS Tax Saver Fund,ELSS,65,21,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
125,Navi Large & Midcap Fund,Large & Mid Cap Fund,85,38,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
126,Navi Flexi Cap Fund,Flexi Cap Fund,85,36,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
127,BARODA BNP PARIBAS LARGE CAP Fund,Large Cap Fund,72,30,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
128,Canara Robeco Focused Fund,Focused Fund,69,25,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
129,HDFC Housing Opportunities Fund,Sectoral/ Thematic,53,57,Balanced,No,3-5 years,[-] Severe historical drawdown | [-] Lagging past returns
130,Invesco India Multicap Fund,Multi Cap Fund,79,43,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
131,Nippon India Consumption Fund,Sectoral/ Thematic,52,44,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Lagging past returns
132,Union Value Fund,Value Fund,55,30,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Veteran manager with exceptional tenure
133,Aditya Birla Sun Life Pharma and Healthcare Fund,Sectoral/ Thematic,51,40,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
134,UTI ELSS Tax Saver Fund,ELSS,62,34,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
135,BANK OF INDIA ELSS Tax Saver,ELSS,60,62,Aggressive,No,1-3 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
136,Franklin India Large Cap Fund,Large Cap Fund,69,22,Conservative,No,5+ years,[+] Supported by a management team | [-] Severe historical drawdown
137,LIC MF Large & Mid Cap Fund,Large & Mid Cap Fund,81,43,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
138,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund),Large Cap Fund,66,30,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
139,Nippon India US Equity Opportunities Fund,Sectoral/ Thematic,50,23,Conservative,No,5+ years,[-] Inconsistent hit rate | [+] Favourable AUM / capacity
140,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund,Sectoral/ Thematic,49,39,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
141,Taurus Ethical Fund,Sectoral/ Thematic,49,43,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
142,SBI CONTRA FUND,Contra Fund,100,25,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Strong long-term consistency
143,Invesco India Infrastructure Fund,Sectoral/ Thematic,48,82,Aggressive,No,1-3 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
144,Union Flexi Cap Fund,Flexi Cap Fund,82,29,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
145,Tata Resources & Energy Fund,Sectoral/ Thematic,47,50,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
146,HSBC Business Cycles Fund,Sectoral/ Thematic,46,59,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Strong long-term consistency
147,Navi ELSS Tax Saver Fund,ELSS,57,33,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Expensive TER
148,Tata ELSS Fund,ELSS,55,35,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
149,HDFC Infrastructure Fund,Sectoral/ Thematic,46,55,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
150,Edelweiss Large & Mid Cap Fund,Large & Mid Cap Fund,77,36,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
151,Mahindra Manulife Flexi Cap Fund,Flexi Cap Fund,79,27,Conservative,No,5+ years,[-] Expensive TER | [-] Severe historical drawdown
152,Franklin India Large & Mid Cap Fund,Large & Mid Cap Fund,73,33,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
153,Invesco India ELSS Tax Saver Fund,ELSS,52,39,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
154,Edelweiss Flexi Cap Fund,Flexi Cap Fund,76,36,Balanced,No,3-5 years,[+] Supported by a management team | [-] Expensive TER
155,Mahindra Manulife Consumption Fund,Sectoral/ Thematic,45,47,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
156,Shriram Flexi Cap Fund,Flexi Cap Fund,74,55,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
157,Invesco India ESG Integration Strategy Fund,Sectoral/ Thematic,44,30,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
158,Axis ESG Integration Strategy Fund,Sectoral/ Thematic,43,25,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
159,BANK OF INDIA Large & Mid Cap Fund,Large & Mid Cap Fund,69,48,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
160,DSP Natural Resources and New Energy Fund,Sectoral/ Thematic,42,51,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
161,Union ELSS Tax Saver Fund,ELSS,50,30,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
162,Nippon India Quant Fund,Sectoral/ Thematic,42,30,Conservative,No,5+ years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
163,Baroda BNP Paribas Flexi Cap Fund,Flexi Cap Fund,71,41,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
164,Aditya Birla Sun Life ESG Integration Strategy Fund,Sectoral/ Thematic,41,30,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
165,Bank of India Multi Cap Fund,Multi Cap Fund,74,46,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
166,ITI Focused Fund,Focused Fund,65,39,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Veteran manager with exceptional tenure
167,BANK OF INDIA Large Cap Fund,Large Cap Fund,62,44,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
168,ITI ELSS Tax Saver Fund,ELSS,48,55,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
169,Axis Innovation Fund,Sectoral/ Thematic,40,22,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
170,Axis Quant Fund,Sectoral/ Thematic,39,48,Balanced,No,3-5 years,[-] Severe historical drawdown | [-] Lagging past returns
171,ICICI Prudential PSU Equity Fund,Sectoral/ Thematic,38,69,Aggressive,No,1-3 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
172,Mahindra Manulife ELSS Tax Saver Fund,ELSS,45,25,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
173,BANK OF INDIA Manufacturing & Infrastructure Fund,Sectoral/ Thematic,37,62,Aggressive,No,1-3 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
174,360 ONE QUANT FUND,Sectoral/ Thematic,37,55,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
175,Sundaram Value Fund,Value Fund,50,20,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
176,UTI MNC Fund,Sectoral/ Thematic,36,40,Balanced,No,3-5 years,[-] Severe historical drawdown | [-] Lagging past returns
177,SBI LARGE & MIDCAP FUND,Large & Mid Cap Fund,65,17,Conservative,No,5+ years,[-] Fund size acting as a drag | [-] Expensive TER
178,LIC MF Multi Cap Fund,Multi Cap Fund,68,46,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
179,Mahindra Manulife Large & Mid Cap Fund,Large & Mid Cap Fund,62,42,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
180,ITI Flexi Cap Fund,Flexi Cap Fund,68,50,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
181,HSBC ELSS Tax saver Fund,ELSS,41,39,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
182,BARODA BNP PARIBAS India Consumption Fund,Sectoral/ Thematic,35,40,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
183,LIC MF ELSS Tax Saver,ELSS,41,25,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
184,Kotak ESG Exclusionary Strategy Fund,Sectoral/ Thematic,34,27,Conservative,No,5+ years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
185,Sundaram Small Cap Fund,Small Cap Fund,91,58,Balanced,No,3-5 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
186,DSP Quant Fund,Sectoral/ Thematic,34,30,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
187,Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund),Focused Fund,62,19,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Lagging past returns
188,Tata Large Cap Fund,Large Cap Fund,59,24,Conservative,No,5+ years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
189,Aditya Birla Sun Life PSU Equity Fund,Sectoral/ Thematic,33,92,Aggressive,No,1-3 years,[-] Severe historical drawdown | [+] Strong long-term consistency
190,UTI Small Cap Fund,Small Cap Fund,87,58,Balanced,No,3-5 years,[-] Severe historical drawdown | [-] Elevated trailing volatility
191,Aditya Birla Sun Life Midcap Fund,Mid Cap Fund,75,54,Balanced,No,3-5 years,[-] Severe historical drawdown | [+] Favourable AUM / capacity
192,Kotak Infrastructure & Economic Reform Fund,Sectoral/ Thematic,32,79,Aggressive,No,1-3 years,[+] Favourable AUM / capacity | [-] Severe historical drawdown
