Category,CategoryRank,Fund,Tier,Quality,Risk,RiskBand,Expected Holding Period,StrategyPick,Why
Focused Fund,22,Canara Robeco Focused Fund,5. Bottom Tier,19,25,Conservative,5+ years,No,[-] Lagging past returns | [-] Inconsistent hit rate
Focused Fund,23,ICICI Prudential Focused Equity Fund,5. Bottom Tier,15,28,Conservative,5+ years,No,[-] Fund size acting as a drag | [-] Lagging past returns
Focused Fund,24,Invesco India Focused Fund,5. Bottom Tier,12,37,Balanced,3-5 years,No,[-] Lagging past returns | [-] Expensive TER
Focused Fund,25,SBI FOCUSED FUND,5. Bottom Tier,8,7,Conservative,5+ years,No,[-] Fund size acting as a drag | [-] Elevated trailing volatility
Focused Fund,26,HDFC Focused Fund,5. Bottom Tier,4,2,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Fund size acting as a drag
Large & Mid Cap Fund,1,Aditya Birla Sun Life Large & Mid Cap Fund,1. Top Tier,100,44,Balanced,3-5 years,No,[+] Cost efficient structure | [+] Strong long-term consistency
Large & Mid Cap Fund,2,Navi Large & Midcap Fund,1. Top Tier,96,38,Balanced,3-5 years,No,[+] Stable risk profile | [+] Strong past momentum
Large & Mid Cap Fund,3,Mahindra Manulife Large & Mid Cap Fund,1. Top Tier,92,42,Balanced,3-5 years,No,[+] Stable risk profile | [+] Veteran manager with exceptional tenure
Large & Mid Cap Fund,4,Baroda BNP Paribas Large and Mid Cap Fund,1. Top Tier,88,41,Balanced,3-5 years,No,[+] Cost efficient structure | [+] Stable risk profile
Large & Mid Cap Fund,5,LIC MF Large & Mid Cap Fund,1. Top Tier,85,43,Balanced,3-5 years,No,[+] Stable risk profile | [+] Strong long-term consistency
Large & Mid Cap Fund,6,BANK OF INDIA Large & Mid Cap Fund,1. Top Tier,81,48,Balanced,3-5 years,No,[+] Stable risk profile | [+] Cost efficient structure
Large & Mid Cap Fund,7,Union Large & Midcap Fund,2. Above Average,77,35,Balanced,3-5 years,No,[+] Strong long-term consistency | [+] Cost efficient structure
Large & Mid Cap Fund,8,Edelweiss Large & Mid Cap Fund,2. Above Average,73,36,Balanced,3-5 years,No,[+] Stable risk profile | [+] Favourable AUM / capacity
Large & Mid Cap Fund,9,Sundaram Large and Midcap Fund,2. Above Average,69,38,Balanced,3-5 years,No,[+] Stable risk profile | [+] Strong past momentum
Large & Mid Cap Fund,10,quant Large & Mid Cap Fund,2. Above Average,65,61,Aggressive,1-3 years,No,[+] Supported by a management team | [-] Relatively inexperienced manager
Large & Mid Cap Fund,11,DSP Large & Mid Cap Fund,2. Above Average,62,33,Balanced,3-5 years,No,[+] Strong long-term consistency | [-] Lagging past returns
Large & Mid Cap Fund,12,Franklin India Large & Mid Cap Fund,3. Average,58,33,Balanced,3-5 years,No,[-] Elevated trailing volatility | [-] Solo management risk
Large & Mid Cap Fund,13,Axis Large & Mid Cap Fund,3. Average,54,27,Conservative,5+ years,No,[-] Elevated trailing volatility | [+] Supported by a management team
Large & Mid Cap Fund,14,Nippon India Vision Large & Mid Cap Fund,3. Average,50,31,Balanced,3-5 years,No,[+] Supported by a management team | [-] Lagging past returns
Large & Mid Cap Fund,15,HSBC Large & Mid Cap Fund,3. Average,46,56,Balanced,3-5 years,No,[-] Lagging past returns | [-] Inconsistent hit rate
Large & Mid Cap Fund,16,Bandhan Large & Mid Cap Fund,3. Average,42,35,Balanced,3-5 years,No,[+] Supported by a management team | [-] Lagging past returns
Large & Mid Cap Fund,17,UTI Large & Mid Cap Fund,4. Below Average,38,34,Balanced,3-5 years,No,[-] Lagging past returns | [+] Cost efficient structure
Large & Mid Cap Fund,18,CANARA ROBECO LARGE AND MID CAP FUND,4. Below Average,35,36,Balanced,3-5 years,No,[-] Fund size acting as a drag | [+] Stable risk profile
Large & Mid Cap Fund,19,Motilal Oswal Large and Midcap Fund,4. Below Average,31,74,Aggressive,1-3 years,No,[-] Lagging past returns | [+] Supported by a management team
Large & Mid Cap Fund,20,HDFC Large and Mid Cap Fund,4. Below Average,27,39,Balanced,3-5 years,No,[-] Fund size acting as a drag | [+] Stable risk profile
Large & Mid Cap Fund,21,Tata Large & MId Cap Fund,4. Below Average,23,33,Balanced,3-5 years,No,[-] Elevated trailing volatility | [+] Strong long-term consistency
Large & Mid Cap Fund,22,Invesco India Large & Mid Cap Fund,5. Bottom Tier,19,41,Balanced,3-5 years,No,[-] Lagging past returns | [-] Solo management risk
Large & Mid Cap Fund,23,Mirae Asset Large & Midcap Fund,5. Bottom Tier,15,39,Balanced,3-5 years,No,[-] Fund size acting as a drag | [-] Relatively inexperienced manager
Large & Mid Cap Fund,24,ICICI Prudential Large & Mid Cap Fund,5. Bottom Tier,12,20,Conservative,5+ years,No,[-] Lagging past returns | [-] Elevated trailing volatility
Large & Mid Cap Fund,25,SBI LARGE & MIDCAP FUND,5. Bottom Tier,8,17,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Fund size acting as a drag
Large & Mid Cap Fund,26,Kotak Large & Midcap Fund,5. Bottom Tier,4,34,Balanced,3-5 years,No,[-] Fund size acting as a drag | [-] Unfavourable is_team
Large Cap Fund,1,LIC MF Large Cap Fund,1. Top Tier,100,31,Balanced,3-5 years,No,[+] Cost efficient structure | [+] Strong long-term consistency
Large Cap Fund,2,Franklin India Large Cap Fund,1. Top Tier,97,22,Conservative,5+ years,No,[+] Cost efficient structure | [+] Strong long-term consistency
Large Cap Fund,3,Tata Large Cap Fund,1. Top Tier,93,24,Conservative,5+ years,No,[+] Stable risk profile | [+] Cost efficient structure
Large Cap Fund,4,HSBC Large Cap Fund,1. Top Tier,90,28,Conservative,5+ years,No,[+] Stable risk profile | [+] Cost efficient structure
Large Cap Fund,5,Aditya Birla Sun Life Large Cap Fund,1. Top Tier,86,24,Conservative,5+ years,No,[+] Cost efficient structure | [+] Stable risk profile
Large Cap Fund,6,Taurus Large Cap Fund,1. Top Tier,83,35,Balanced,3-5 years,No,[+] Favourable AUM / capacity | [-] Solo management risk
Large Cap Fund,7,quant Large Cap Fund,2. Above Average,79,49,Balanced,3-5 years,No,[+] Supported by a management team | [+] Strong past momentum
Large Cap Fund,8,Axis Large Cap Fund,2. Above Average,76,19,Conservative,5+ years,No,[+] Strong past momentum | [+] Strong long-term consistency
Large Cap Fund,9,BANK OF INDIA Large Cap Fund,2. Above Average,72,44,Balanced,3-5 years,No,[+] Excellent downside protection | [+] Veteran manager with exceptional tenure
Large Cap Fund,10,PGIM India Large Cap Fund,2. Above Average,69,23,Conservative,5+ years,No,[+] Strong past momentum | [-] Solo management risk
Large Cap Fund,11,Union Largecap Fund,2. Above Average,66,21,Conservative,5+ years,No,[+] Strong past momentum | [+] Cost efficient structure
Large Cap Fund,12,JM Large Cap Fund,2. Above Average,62,39,Balanced,3-5 years,No,[+] Supported by a management team | [-] Expensive TER
Large Cap Fund,13,Kotak Large Cap Fund,3. Average,59,24,Conservative,5+ years,No,[+] Strong long-term consistency | [+] Stable risk profile
Large Cap Fund,14,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund),3. Average,55,30,Conservative,5+ years,No,[-] Solo management risk | [+] Stable risk profile
Large Cap Fund,15,WhiteOak Capital Large Cap Fund,3. Average,52,20,Conservative,5+ years,Yes,[-] Lagging past returns | [+] Supported by a management team
Large Cap Fund,16,ITI Large Cap Fund,3. Average,48,33,Balanced,3-5 years,No,[+] Stable risk profile | [+] Strong past momentum
Large Cap Fund,17,Mahindra Manulife Large Cap Fund,3. Average,45,22,Conservative,5+ years,Yes,[+] Stable risk profile | [-] Inconsistent hit rate
Large Cap Fund,18,UTI Large Cap Fund,3. Average,41,19,Conservative,5+ years,No,[-] Elevated trailing volatility | [+] Cost efficient structure
Large Cap Fund,19,BANDHAN Large Cap Fund,4. Below Average,38,31,Balanced,3-5 years,No,[-] Lagging past returns | [+] Supported by a management team
Large Cap Fund,20,Invesco India Largecap Fund,4. Below Average,34,35,Balanced,3-5 years,No,[-] Lagging past returns | [-] Solo management risk
Large Cap Fund,21,CANARA ROBECO LARGE CAP FUND,4. Below Average,31,16,Conservative,5+ years,No,[-] Elevated trailing volatility | [+] Excellent downside protection
Large Cap Fund,22,BARODA BNP PARIBAS LARGE CAP Fund,4. Below Average,28,30,Conservative,5+ years,No,[+] Stable risk profile | [-] Lagging past returns
Large Cap Fund,23,HDFC Large Cap Fund,4. Below Average,24,21,Conservative,5+ years,No,[-] Fund size acting as a drag | [-] Severe historical drawdown
Large Cap Fund,24,Edelweiss Large Cap Fund,4. Below Average,21,25,Conservative,5+ years,No,[-] Lagging past returns | [-] Expensive TER
Large Cap Fund,25,SBI Large Cap FUND,5. Bottom Tier,17,19,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Fund size acting as a drag
Large Cap Fund,26,Mirae Asset Large Cap Fund,5. Bottom Tier,14,20,Conservative,5+ years,No,[-] Fund size acting as a drag | [-] Unfavourable is_team
Large Cap Fund,27,Nippon India Large Cap Fund,5. Bottom Tier,10,20,Conservative,5+ years,No,[-] Fund size acting as a drag | [-] Lagging past returns
Large Cap Fund,28,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),5. Bottom Tier,7,18,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Lagging past returns
Large Cap Fund,29,DSP Large Cap Fund,5. Bottom Tier,3,12,Conservative,5+ years,No,[-] Elevated trailing volatility | [-] Lagging past returns
Mid Cap Fund,1,Taurus Mid Cap Fund,1. Top Tier,100,65,Aggressive,1-3 years,No,[+] Cost efficient structure | [+] Strong long-term consistency
Mid Cap Fund,2,UTI Mid Cap Fund,1. Top Tier,96,57,Balanced,3-5 years,No,[+] Stable risk profile | [+] Cost efficient structure
Mid Cap Fund,3,Sundaram Mid Cap Fund,1. Top Tier,93,49,Balanced,3-5 years,No,[+] Cost efficient structure | [+] Strong past momentum
Mid Cap Fund,4,BANDHAN MIDCAP FUND,1. Top Tier,89,57,Balanced,3-5 years,Yes,[+] Supported by a management team | [+] Stable risk profile
Mid Cap Fund,5,JM Midcap Fund,1. Top Tier,86,60,Balanced,3-5 years,Yes,[+] Supported by a management team | [+] Strong long-term consistency
Mid Cap Fund,6,quant Mid Cap Fund,1. Top Tier,82,68,Aggressive,1-3 years,No,[+] Strong past momentum | [+] Supported by a management team
Mid Cap Fund,7,DSP Midcap Fund,2. Above Average,79,56,Balanced,3-5 years,No,[+] Stable risk profile | [+] Cost efficient structure
Mid Cap Fund,8,ICICI Prudential MidCap Fund,2. Above Average,75,54,Balanced,3-5 years,No,[+] Stable risk profile | [+] Cost efficient structure
Mid Cap Fund,9,Aditya Birla Sun Life Midcap Fund,2. Above Average,71,54,Balanced,3-5 years,No,[+] Stable risk profile | [-] Solo management risk
Mid Cap Fund,10,SBI MIDCAP FUND,2. Above Average,68,34,Balanced,3-5 years,No,[-] Elevated trailing volatility | [+] Cost efficient structure
Mid Cap Fund,11,HSBC Midcap Fund,2. Above Average,64,65,Aggressive,1-3 years,No,[+] Strong past momentum | [+] Favourable AUM / capacity
Mid Cap Fund,12,PGIM India Midcap Fund,2. Above Average,61,39,Balanced,3-5 years,No,[-] Elevated trailing volatility | [+] Supported by a management team
Mid Cap Fund,13,Canara Robeco Mid Cap Fund,3. Average,57,50,Balanced,3-5 years,No,[+] Strong long-term consistency | [+] Favourable AUM / capacity
Mid Cap Fund,14,Union Midcap Fund,3. Average,54,51,Balanced,3-5 years,No,[+] Stable risk profile | [+] Strong long-term consistency
Mid Cap Fund,15,Franklin India Mid Cap Fund,3. Average,50,42,Balanced,3-5 years,No,[+] Cost efficient structure | [+] Strong past momentum
Mid Cap Fund,16,Mirae Asset Midcap Fund,3. Average,46,58,Balanced,3-5 years,No,[+] Stable risk profile | [-] Inconsistent hit rate
